screenname,tdate,hits,viewPicks,pickList,pickGames,playerWeekly,playerTls,hof,hom,teamStatDia,teamScrsStat,teadmDisc,teamDisc,takeSurvey,nflnews
AirDreamer,2022-11-03,5,0,0,2,0,0,0,1,2,0,0,0,0,0
AirDreamer,2022-11-04,9,2,0,0,0,2,3,1,1,0,0,0,0,0
AirDreamer,2022-11-05,2,1,0,0,0,0,1,0,0,0,0,0,0,0
AirDreamer,2022-11-06,2,0,0,0,0,2,0,0,0,0,0,0,0,0
AirDreamer,2022-11-07,9,0,0,0,3,3,2,0,0,1,0,0,0,0
AirDreamer,2022-11-08,22,4,5,1,3,4,1,0,1,0,2,0,0,1
AirDreamer,2022-11-09,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AirDreamer,2022-11-10,4,1,1,0,1,1,0,0,0,0,0,0,0,0
AirDreamer,2022-11-11,11,2,3,1,1,1,1,1,0,0,1,0,0,0
AirDreamer,2022-11-12,16,1,0,1,1,1,1,1,5,0,0,1,1,3
Alaskan Fisherman,2022-11-03,3,0,0,1,0,1,1,0,0,0,0,0,0,0
Alaskan Fisherman,2022-11-08,3,0,0,0,1,1,1,0,0,0,0,0,0,0
Alaskan Fisherman,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-04,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Beach Bum,2022-11-13,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Grass Bombers,2022-11-13,5,0,0,1,0,1,0,0,3,0,0,0,0,0
Blue Lion,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Lion,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Lioness,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Blue Lioness,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Clammer,2022-11-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Clammer,2022-11-08,4,0,0,1,0,3,0,0,0,0,0,0,0,0
Clammer,2022-11-10,4,0,0,4,0,0,0,0,0,0,0,0,0,0
Classic JAG,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Classic JAG,2022-11-09,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Daffy Duck,2022-11-08,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Dr Joy,2022-11-02,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Dr Joy,2022-11-10,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Exploding Brain,2022-11-03,4,0,0,1,0,0,0,0,3,0,0,0,0,0
Exploding Brain,2022-11-10,6,0,0,1,0,1,0,0,4,0,0,0,0,0
FL King of Pickleball,2022-11-07,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FL King of Pickleball,2022-11-10,2,0,0,1,0,0,0,0,1,0,0,0,0,0
Ginger,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Goalie29,2022-11-08,3,0,0,1,0,1,0,0,0,0,1,0,0,0
GrammyGrams,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GrammyGrams,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-03,14,7,0,1,2,3,1,0,0,0,0,0,0,0
Hawk Eye,2022-11-04,5,4,0,0,0,1,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-05,24,2,20,0,1,1,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-06,164,14,141,1,4,1,0,0,3,0,0,0,0,0
Hawk Eye,2022-11-07,55,8,32,0,9,6,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-08,12,2,4,0,3,3,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-09,19,4,8,0,3,3,0,0,1,0,0,0,0,0
Hawk Eye,2022-11-10,39,7,25,1,1,5,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-11,3,2,1,0,0,0,0,0,0,0,0,0,0,0
Hawk Eye,2022-11-12,11,2,6,0,0,2,0,0,1,0,0,0,0,0
Hawk Eye,2022-11-13,60,10,42,2,1,0,0,0,5,0,0,0,0,0
Hoosier Daddy,2022-11-03,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Hoosier Daddy,2022-11-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hygenius,2022-11-09,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hygenius,2022-11-10,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Island Girl,2022-11-03,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Island Girl,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Island Girl,2022-11-11,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Jack Straw,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Jack Straw,2022-11-10,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Lady Luck,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Lady Luck,2022-11-05,4,0,0,2,0,2,0,0,0,0,0,0,0,0
Lady Luck,2022-11-10,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Lady Luck,2022-11-12,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Mouse Girl,2022-11-06,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Mouse Girl,2022-11-09,14,0,0,1,0,0,0,0,13,0,0,0,0,0
PatrickR,2022-11-03,2,0,0,2,0,0,0,0,0,0,0,0,0,0
PatrickR,2022-11-10,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Peaceful Gardener,2022-11-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Peaceful Gardener,2022-11-05,3,1,0,1,0,0,0,0,1,0,0,0,0,0
Peaceful Gardener,2022-11-07,8,0,0,1,3,4,0,0,0,0,0,0,0,0
Peaceful Gardener,2022-11-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Peaceful Gardener,2022-11-10,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Peaceful Gardener,2022-11-11,5,1,0,2,2,0,0,0,0,0,0,0,0,0
Peaceful Gardener,2022-11-13,4,0,0,3,0,0,0,0,1,0,0,0,0,0
Red Bird,2022-11-07,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Red Bird,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Red Bird,2022-11-11,3,0,0,1,0,0,0,0,2,0,0,0,0,0
Red Bird,2022-11-12,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Red Gorillaz,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RunningCat,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RunningCat,2022-11-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RunningCat,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SandyLand,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SandyLand,2022-11-08,2,0,0,2,0,0,0,0,0,0,0,0,0,0
SandyR,2022-11-06,3,0,0,3,0,0,0,0,0,0,0,0,0,0
SandyT,2022-11-03,2,0,0,2,0,0,0,0,0,0,0,0,0,0
SandyT,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ScottT,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ScottT,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Smokey SouWester,2022-11-03,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Smokey SouWester,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sunshine,2022-11-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sunshine,2022-11-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Super Brawler,2022-11-06,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Super Brawler,2022-11-07,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Super Brawler,2022-11-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Super Brawler,2022-11-13,23,2,13,6,0,1,0,0,1,0,0,0,0,0
Sville 5,2022-11-05,8,3,0,3,0,0,0,0,2,0,0,0,0,0
Sville 5,2022-11-08,11,0,0,0,5,4,1,0,1,0,0,0,0,0
Sville 5,2022-11-09,3,0,0,0,1,2,0,0,0,0,0,0,0,0
Sville 5,2022-11-10,11,4,1,3,0,1,0,0,2,0,0,0,0,0
Sville 5,2022-11-12,5,2,0,1,0,0,0,0,2,0,0,0,0,0
Sville 5,2022-11-13,4,1,0,1,0,0,0,0,2,0,0,0,0,0
TampaJK,2022-11-02,12,0,0,9,0,3,0,0,0,0,0,0,0,0
TampaJK,2022-11-09,15,0,0,1,1,0,0,0,13,0,0,0,0,0
TampaVK,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TampaVK,2022-11-04,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TampaVK,2022-11-07,5,0,0,1,1,1,0,0,2,0,0,0,0,0
TampaVK,2022-11-08,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TampaVK,2022-11-10,4,0,0,3,0,0,0,0,1,0,0,0,0,0
Team Remington,2022-11-02,5,2,0,2,0,0,1,0,0,0,0,0,0,0
Team Remington,2022-11-07,2,1,0,0,0,1,0,0,0,0,0,0,0,0
Team Remington,2022-11-09,2,1,0,1,0,0,0,0,0,0,0,0,0,0
The Juice Is Loose,2022-11-03,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Juice Is Loose,2022-11-05,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Juice Is Loose,2022-11-08,3,1,0,1,0,1,0,0,0,0,0,0,0,0
TheDoberMan,2022-11-03,2,0,0,2,0,0,0,0,0,0,0,0,0,0
TheDoberMan,2022-11-10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Toothfairy,2022-11-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Toothfairy,2022-11-08,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Wildcat Wonder,2022-11-03,12,0,0,8,0,1,0,0,0,2,1,0,0,0
Wildcat Wonder,2022-11-04,11,2,0,0,2,4,1,1,0,1,0,0,0,0
Wildcat Wonder,2022-11-06,14,3,0,4,1,2,0,1,0,1,1,0,0,1
Wildcat Wonder,2022-11-08,3,0,0,0,1,2,0,0,0,0,0,0,0,0
Wildcat Wonder,2022-11-10,5,0,0,5,0,0,0,0,0,0,0,0,0,0
Wildcat Wonder,2022-11-11,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Wildcat Wonder,2022-11-12,3,0,0,1,0,0,0,0,1,0,0,0,0,1
Wildcat Wonder,2022-11-13,15,2,4,3,0,3,0,0,2,0,0,0,0,1
