Week,Day,Date,Visitor,Home,Time
1,Thu,Sep 8,Panthers,Broncos,8:30 PM
1,Sun,Sep 11,Buccaneers,Falcons,1:00 PM
1,Sun,Sep 11,Bears,Texans,1:00 PM
1,Sun,Sep 11,Packers,Jaguars,1:00 PM
1,Sun,Sep 11,Chargers,Chiefs,1:00 PM
1,Sun,Sep 11,Raiders,Saints,1:00 PM
1,Sun,Sep 11,Bengals,Jets,1:00 PM
1,Sun,Sep 11,Vikings,Titans,1:00 PM
1,Sun,Sep 11,Browns,Eagles,1:00 PM
1,Sun,Sep 11,Bills,Ravens,1:00 PM
1,Sun,Sep 11,Dolphins,Seahawks,4:05 PM
1,Sun,Sep 11,Lions,Colts,4:25 PM
1,Sun,Sep 11,Giants,Cowboys,4:25 PM
1,Sun,Sep 11,Patriots,Cardinals,8:30 PM
1,Mon,Sep 12,Steelers,Redskins,7:10 PM
1,Mon,Sep 12,Rams,49ers,10:20 PM
2,Thu,Sep 15,Jets,Bills,8:25 PM
2,Sun,Sep 18,49ers,Panthers,1:00 PM
2,Sun,Sep 18,Ravens,Browns,1:00 PM
2,Sun,Sep 18,Titans,Lions,1:00 PM
2,Sun,Sep 18,Chiefs,Texans,1:00 PM
2,Sun,Sep 18,Dolphins,Patriots,1:00 PM
2,Sun,Sep 18,Saints,Giants,1:00 PM
2,Sun,Sep 18,Bengals,Steelers,1:00 PM
2,Sun,Sep 18,Cowboys,Redskins,1:00 PM
2,Sun,Sep 18,Buccaneers,Cardinals,4:05 PM
2,Sun,Sep 18,Seahawks,Rams,4:05 PM
2,Sun,Sep 18,Colts,Broncos,4:25 PM
2,Sun,Sep 18,Falcons,Raiders,4:25 PM
2,Sun,Sep 18,Jaguars,Chargers,4:25 PM
2,Sun,Sep 18,Packers,Vikings,8:30 PM
2,Mon,Sep 19,Eagles,Bears,8:30 PM
3,Thu,Sep 22,Texans,Patriots,8:25 PM
3,Sun,Sep 25,Cardinals,Bills,1:00 PM
3,Sun,Sep 25,Vikings,Panthers,1:00 PM
3,Sun,Sep 25,Broncos,Bengals,1:00 PM
3,Sun,Sep 25,Lions,Packers,1:00 PM
3,Sun,Sep 25,Ravens,Jaguars,1:00 PM
3,Sun,Sep 25,Browns,Dolphins,1:00 PM
3,Sun,Sep 25,Redskins,Giants,1:00 PM
3,Sun,Sep 25,Raiders,Titans,1:00 PM
3,Sun,Sep 25,49ers,Seahawks,4:05 PM
3,Sun,Sep 25,Rams,Buccaneers,4:05 PM
3,Sun,Sep 25,Chargers,Colts,4:25 PM
3,Sun,Sep 25,Jets,Chiefs,4:25 PM
3,Sun,Sep 25,Steelers,Eagles,4:25 PM
3,Sun,Sep 25,Bears,Cowboys,8:30 PM
3,Mon,Sep 26,Falcons,Saints,8:30 PM
4,NA,NA,Bye,Bye,"Eagles, Packers"
4,Thu,Sep 29,Dolphins,Bengals,8:25 PM
4,Sun,Oct 2,Colts,Jaguars,9:30 AM
4,Sun,Oct 2,Panthers,Falcons,1:00 PM
4,Sun,Oct 2,Lions,Bears,1:00 PM
4,Sun,Oct 2,Titans,Texans,1:00 PM
4,Sun,Oct 2,Bills,Patriots,1:00 PM
4,Sun,Oct 2,Seahawks,Jets,1:00 PM
4,Sun,Oct 2,Raiders,Ravens,1:00 PM
4,Sun,Oct 2,Browns,Redskins,1:00 PM
4,Sun,Oct 2,Broncos,Buccaneers,4:05 PM
4,Sun,Oct 2,Rams,Cardinals,4:25 PM
4,Sun,Oct 2,Saints,Chargers,4:25 PM
4,Sun,Oct 2,Cowboys,49ers,4:25 PM
4,Sun,Oct 2,Chiefs,Steelers,8:30 PM
4,Mon,Oct 3,Giants,Vikings,8:30 PM
5,NA,NA,Bye,Bye,"Jaguars, Chiefs, Saints, Seahawks"
5,Thu,Oct 6,Cardinals,49ers,8:25 PM
5,Sun,Oct 9,Patriots,Browns,1:00 PM
5,Sun,Oct 9,Bears,Colts,1:00 PM
5,Sun,Oct 9,Eagles,Lions,1:00 PM
5,Sun,Oct 9,Titans,Dolphins,1:00 PM
5,Sun,Oct 9,Texans,Vikings,1:00 PM
5,Sun,Oct 9,Jets,Steelers,1:00 PM
5,Sun,Oct 9,Redskins,Ravens,1:00 PM
5,Sun,Oct 9,Falcons,Broncos,4:05 PM
5,Sun,Oct 9,Bengals,Cowboys,4:25 PM
5,Sun,Oct 9,Chargers,Raiders,4:25 PM
5,Sun,Oct 9,Bills,Rams,4:25 PM
5,Sun,Oct 9,Giants,Packers,8:30 PM
5,Mon,Oct 10,Buccaneers,Panthers,8:30 PM
6,NA,NA,Bye,Bye,"Vikings, Buccaneers"
6,Thu,Oct 13,Broncos,Chargers,8:25 PM
6,Sun,Oct 16,49ers,Bills,1:00 PM
6,Sun,Oct 16,Jaguars,Bears,1:00 PM
6,Sun,Oct 16,Rams,Lions,1:00 PM
6,Sun,Oct 16,Steelers,Dolphins,1:00 PM
6,Sun,Oct 16,Panthers,Saints,1:00 PM
6,Sun,Oct 16,Bengals,Patriots,1:00 PM
6,Sun,Oct 16,Ravens,Giants,1:00 PM
6,Sun,Oct 16,Browns,Titans,1:00 PM
6,Sun,Oct 16,Eagles,Redskins,1:00 PM
6,Sun,Oct 16,Chiefs,Raiders,4:05 PM
6,Sun,Oct 16,Cowboys,Packers,4:25 PM
6,Sun,Oct 16,Falcons,Seahawks,4:25 PM
6,Sun,Oct 16,Colts,Texans,8:30 PM
6,Mon,Oct 17,Jets,Cardinals,8:30 PM
7,NA,NA,Bye,Bye,"Panthers, Cowboys"
7,Thu,Oct 20,Bears,Packers,8:25 PM
7,Sun,Oct 23,Giants,Rams,9:30 AM
7,Sun,Oct 23,Browns,Bengals,1:00 PM
7,Sun,Oct 23,Redskins,Lions,1:00 PM
7,Sun,Oct 23,Raiders,Jaguars,1:00 PM
7,Sun,Oct 23,Saints,Chiefs,1:00 PM
7,Sun,Oct 23,Bills,Dolphins,1:00 PM
7,Sun,Oct 23,Ravens,Jets,1:00 PM
7,Sun,Oct 23,Colts,Titans,1:00 PM
7,Sun,Oct 23,Vikings,Eagles,1:00 PM
7,Sun,Oct 23,Chargers,Falcons,4:05 PM
7,Sun,Oct 23,Buccaneers,49ers,4:05 PM
7,Sun,Oct 23,Patriots,Steelers,4:25 PM
7,Sun,Oct 23,Seahawks,Cardinals,8:30 PM
7,Mon,Oct 24,Texans,Broncos,8:30 PM
8,NA,NA,Bye,Bye,"Ravens, Rams, Dolphins, Giants, Steelers, 49ers"
8,Thu,Oct 27,Jaguars,Titans,8:25 PM
8,Sun,Oct 30,Redskins,Bengals,9:30 AM
8,Sun,Oct 30,Packers,Falcons,1:00 PM
8,Sun,Oct 30,Patriots,Bills,1:00 PM
8,Sun,Oct 30,Jets,Browns,1:00 PM
8,Sun,Oct 30,Chiefs,Colts,1:00 PM
8,Sun,Oct 30,Lions,Texans,1:00 PM
8,Sun,Oct 30,Seahawks,Saints,1:00 PM
8,Sun,Oct 30,Raiders,Buccaneers,1:00 PM
8,Sun,Oct 30,Chargers,Broncos,4:05 PM
8,Sun,Oct 30,Cardinals,Panthers,4:25 PM
8,Sun,Oct 30,Eagles,Cowboys,8:30 PM
8,Mon,Oct 31,Vikings,Bears,8:30 PM
9,NA,NA,Bye,Bye,"Cardinals, Bears, Bengals, Texans, Patriots, Redskins"
9,Thu,Nov 3,Falcons,Buccaneers,8:25 PM
9,Sun,Nov 6,Cowboys,Browns,1:00 PM
9,Sun,Nov 6,Jaguars,Chiefs,1:00 PM
9,Sun,Nov 6,Jets,Dolphins,1:00 PM
9,Sun,Nov 6,Lions,Vikings,1:00 PM
9,Sun,Nov 6,Eagles,Giants,1:00 PM
9,Sun,Nov 6,Steelers,Ravens,1:00 PM
9,Sun,Nov 6,Panthers,Rams,4:05 PM
9,Sun,Nov 6,Saints,49ers,4:05 PM
9,Sun,Nov 6,Colts,Packers,4:25 PM
9,Sun,Nov 6,Titans,Chargers,4:25 PM
9,Sun,Nov 6,Broncos,Raiders,8:30 PM
9,Mon,Nov 7,Bills,Seahawks,8:30 PM
10,NA,NA,Bye,Bye,"Bills, Lions, Colts, Raiders"
10,Thu,Nov 10,Browns,Ravens,8:25 PM
10,Sun,Nov 13,Chiefs,Panthers,1:00 PM
10,Sun,Nov 13,Texans,Jaguars,1:00 PM
10,Sun,Nov 13,Broncos,Saints,1:00 PM
10,Sun,Nov 13,Rams,Jets,1:00 PM
10,Sun,Nov 13,Packers,Titans,1:00 PM
10,Sun,Nov 13,Falcons,Eagles,1:00 PM
10,Sun,Nov 13,Bears,Buccaneers,1:00 PM
10,Sun,Nov 13,Vikings,Redskins,1:00 PM
10,Sun,Nov 13,Dolphins,Chargers,4:05 PM
10,Sun,Nov 13,49ers,Cardinals,4:25 PM
10,Sun,Nov 13,Cowboys,Steelers,4:25 PM
10,Sun,Nov 13,Seahawks,Patriots,8:30 PM
10,Mon,Nov 14,Bengals,Giants,8:30 PM
11,NA,NA,Bye,Bye,"Falcons, Broncos, Jets, Chargers"
11,Thu,Nov 17,Saints,Panthers,8:25 PM
11,Sun,Nov 20,Bills,Bengals,1:00 PM
11,Sun,Nov 20,Steelers,Browns,1:00 PM
11,Sun,Nov 20,Titans,Colts,1:00 PM
11,Sun,Nov 20,Ravens,Cowboys,1:00 PM
11,Sun,Nov 20,Jaguars,Lions,1:00 PM
11,Sun,Nov 20,Buccaneers,Chiefs,1:00 PM
11,Sun,Nov 20,Cardinals,Vikings,1:00 PM
11,Sun,Nov 20,Bears,Giants,1:00 PM
11,Sun,Nov 20,Dolphins,Rams,4:05 PM
11,Sun,Nov 20,Eagles,Seahawks,4:25 PM
11,Sun,Nov 20,Patriots,49ers,4:25 PM
11,Sun,Nov 20,Packers,Redskins,8:30 PM
11,Mon,Nov 21,Texans,Raiders,8:30 PM
12,Thu,Nov 24,Vikings,Lions,12:30 PM
12,Thu,Nov 24,Redskins,Cowboys,4:30 PM
12,Thu,Nov 24,Steelers,Colts,8:30 PM
12,Sun,Nov 27,Cardinals,Falcons,1:00 PM
12,Sun,Nov 27,Jaguars,Bills,1:00 PM
12,Sun,Nov 27,Titans,Bears,1:00 PM
12,Sun,Nov 27,Giants,Browns,1:00 PM
12,Sun,Nov 27,Chargers,Texans,1:00 PM
12,Sun,Nov 27,49ers,Dolphins,1:00 PM
12,Sun,Nov 27,Rams,Saints,1:00 PM
12,Sun,Nov 27,Bengals,Ravens,1:00 PM
12,Sun,Nov 27,Seahawks,Buccaneers,4:05 PM
12,Sun,Nov 27,Chiefs,Broncos,4:25 PM
12,Sun,Nov 27,Panthers,Raiders,4:25 PM
12,Sun,Nov 27,Patriots,Jets,8:30 PM
12,Mon,Nov 28,Packers,Eagles,8:30 PM
13,NA,NA,Bye,Bye,"Browns, Titans"
13,Thu,Dec 1,Cowboys,Vikings,8:25 PM
13,Sun,Dec 4,Chiefs,Falcons,1:00 PM
13,Sun,Dec 4,49ers,Bears,1:00 PM
13,Sun,Dec 4,Eagles,Bengals,1:00 PM
13,Sun,Dec 4,Texans,Packers,1:00 PM
13,Sun,Dec 4,Broncos,Jaguars,1:00 PM
13,Sun,Dec 4,Lions,Saints,1:00 PM
13,Sun,Dec 4,Rams,Patriots,1:00 PM
13,Sun,Dec 4,Dolphins,Ravens,1:00 PM
13,Sun,Dec 4,Bills,Raiders,4:05 PM
13,Sun,Dec 4,Redskins,Cardinals,4:25 PM
13,Sun,Dec 4,Giants,Steelers,4:25 PM
13,Sun,Dec 4,Buccaneers,Chargers,4:25 PM
13,Sun,Dec 4,Panthers,Seahawks,8:30 PM
13,Mon,Dec 5,Colts,Jets,8:30 PM
14,Thu,Dec 8,Raiders,Chiefs,8:25 PM
14,Sun,Dec 11,Steelers,Bills,1:00 PM
14,Sun,Dec 11,Chargers,Panthers,1:00 PM
14,Sun,Dec 11,Bengals,Browns,1:00 PM
14,Sun,Dec 11,Texans,Colts,1:00 PM
14,Sun,Dec 11,Bears,Lions,1:00 PM
14,Sun,Dec 11,Vikings,Jaguars,1:00 PM
14,Sun,Dec 11,Cardinals,Dolphins,1:00 PM
14,Sun,Dec 11,Broncos,Titans,1:00 PM
14,Sun,Dec 11,Redskins,Eagles,1:00 PM
14,Sun,Dec 11,Saints,Buccaneers,1:00 PM
14,Sun,Dec 11,Jets,49ers,4:05 PM
14,Sun,Dec 11,Seahawks,Packers,4:25 PM
14,Sun,Dec 11,Falcons,Rams,4:25 PM
14,Sun,Dec 11,Cowboys,Giants,8:30 PM
14,Mon,Dec 12,Ravens,Patriots,8:30 PM
15,Thu,Dec 15,Rams,Seahawks,8:25 PM
15,Sat,Dec 17,Dolphins,Jets,8:25 PM
15,Sun,Dec 18,Browns,Bills,1:00 PM
15,Sun,Dec 18,Packers,Bears,1:00 PM
15,Sun,Dec 18,Buccaneers,Cowboys,1:00 PM
15,Sun,Dec 18,Jaguars,Texans,1:00 PM
15,Sun,Dec 18,Titans,Chiefs,1:00 PM
15,Sun,Dec 18,Colts,Vikings,1:00 PM
15,Sun,Dec 18,Lions,Giants,1:00 PM
15,Sun,Dec 18,Eagles,Ravens,1:00 PM
15,Sun,Dec 18,49ers,Falcons,4:05 PM
15,Sun,Dec 18,Saints,Cardinals,4:05 PM
15,Sun,Dec 18,Patriots,Broncos,4:25 PM
15,Sun,Dec 18,Raiders,Chargers,4:25 PM
15,Sun,Dec 18,Steelers,Bengals,8:30 PM
15,Mon,Dec 19,Panthers,Redskins,8:30 PM
16,Thu,Dec 22,Giants,Eagles,8:25 PM
16,Sat,Dec 24,Dolphins,Bills,1:00 PM
16,Sat,Dec 24,Falcons,Panthers,1:00 PM
16,Sat,Dec 24,Redskins,Bears,1:00 PM
16,Sat,Dec 24,Chargers,Browns,1:00 PM
16,Sat,Dec 24,Vikings,Packers,1:00 PM
16,Sat,Dec 24,Titans,Jaguars,1:00 PM
16,Sat,Dec 24,Buccaneers,Saints,1:00 PM
16,Sat,Dec 24,Jets,Patriots,1:00 PM
16,Sat,Dec 24,Colts,Raiders,4:05 PM
16,Sat,Dec 24,49ers,Rams,4:25 PM
16,Sat,Dec 24,Cardinals,Seahawks,4:25 PM
16,Sat,Dec 24,Bengals,Texans,8:25 PM
16,Sun,Dec 25,Ravens,Steelers,4:30 PM
16,Sun,Dec 25,Broncos,Chiefs,8:30 PM
16,Mon,Dec 26,Lions,Cowboys,8:30 PM
17,Sun,Jan 1,Saints,Falcons,1:00 PM
17,Sun,Jan 1,Ravens,Bengals,1:00 PM
17,Sun,Jan 1,Jaguars,Colts,1:00 PM
17,Sun,Jan 1,Packers,Lions,1:00 PM
17,Sun,Jan 1,Patriots,Dolphins,1:00 PM
17,Sun,Jan 1,Bears,Vikings,1:00 PM
17,Sun,Jan 1,Bills,Jets,1:00 PM
17,Sun,Jan 1,Texans,Titans,1:00 PM
17,Sun,Jan 1,Cowboys,Eagles,1:00 PM
17,Sun,Jan 1,Browns,Steelers,1:00 PM
17,Sun,Jan 1,Panthers,Buccaneers,1:00 PM
17,Sun,Jan 1,Giants,Redskins,1:00 PM
17,Sun,Jan 1,Raiders,Broncos,4:25 PM
17,Sun,Jan 1,Cardinals,Rams,4:25 PM
17,Sun,Jan 1,Chiefs,Chargers,4:25 PM
17,Sun,Jan 1,Seahawks,49ers,4:25 PM